
2025/01/01 (23:20:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/01 (23:27:11) | ===> btop++ v.1.4.0
2025/01/01 (23:27:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/01 (23:27:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/03 (16:43:32) | ===> btop++ v.1.4.0
2025/01/03 (16:43:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/03 (16:43:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/04 (00:20:40) | ===> btop++ v.1.4.0
2025/01/04 (00:20:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/04 (00:20:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/04 (00:28:18) | ===> btop++ v.1.4.0
2025/01/04 (00:28:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/04 (00:28:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/04 (01:14:42) | ===> btop++ v.1.4.0
2025/01/04 (01:14:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/04 (01:14:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/04 (01:19:10) | ===> btop++ v.1.4.0
2025/01/04 (01:19:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/04 (01:19:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/04 (01:30:15) | ===> btop++ v.1.4.0
2025/01/04 (01:30:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/04 (01:30:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/04 (21:30:01) | ===> btop++ v.1.4.0
2025/01/04 (21:30:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/04 (21:30:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/05 (21:38:40) | ===> btop++ v.1.4.0
2025/01/05 (21:38:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/05 (21:38:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (20:46:19) | ===> btop++ v.1.4.0
2025/01/06 (20:46:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (20:46:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (20:46:26) | ===> btop++ v.1.4.0
2025/01/06 (20:46:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (20:46:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (20:46:31) | ===> btop++ v.1.4.0
2025/01/06 (20:46:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (20:46:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (20:46:57) | ===> btop++ v.1.4.0
2025/01/06 (20:46:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (20:46:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (20:51:02) | ===> btop++ v.1.4.0
2025/01/06 (20:51:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (20:51:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (21:03:16) | ===> btop++ v.1.4.0
2025/01/06 (21:03:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (21:03:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (21:03:17) | ===> btop++ v.1.4.0
2025/01/06 (21:03:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (21:03:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (21:12:14) | ===> btop++ v.1.4.0
2025/01/06 (21:12:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (21:12:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (21:12:27) | ===> btop++ v.1.4.0
2025/01/06 (21:12:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (21:12:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/06 (21:19:03) | ===> btop++ v.1.4.0
2025/01/06 (21:19:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/06 (21:19:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/08 (05:15:38) | ===> btop++ v.1.4.0
2025/01/08 (05:15:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (05:15:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/08 (05:17:52) | ===> btop++ v.1.4.0
2025/01/08 (05:17:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/08 (05:17:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/12 (09:22:03) | ===> btop++ v.1.4.0
2025/01/12 (09:22:03) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2025/01/12 (09:31:16) | ===> btop++ v.1.4.0
2025/01/12 (09:31:16) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2025/01/12 (09:31:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/12 (09:31:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/12 (10:48:28) | ===> btop++ v.1.4.0
2025/01/12 (10:48:28) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2025/01/12 (10:48:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/12 (10:48:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (12:33:38) | ===> btop++ v.1.4.0
2025/01/14 (12:33:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (12:33:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (12:38:46) | ===> btop++ v.1.4.0
2025/01/14 (12:38:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/01/14 (12:38:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/01/14 (13:50:17) | ===> btop++ v.1.4.0
